Customer ID,recency,frequency,monetary,cluster
12346.0,325.0,12,77556.46,0
12347.0,1.0,8,5633.32,0
12348.0,74.0,5,2019.4,0
12349.0,18.0,4,4428.69,0
12350.0,309.0,1,334.4,1
12351.0,374.0,1,300.93,1
12352.0,35.0,10,2849.84,0
12353.0,203.0,2,406.76,0
12354.0,231.0,1,1079.4,0
12355.0,213.0,2,947.61,0
12356.0,22.0,6,6373.68,0
12357.0,32.0,3,18287.66,0
12358.0,1.0,5,3887.07,0
12359.0,57.0,10,8935.94,0
12360.0,51.0,8,4252.89,0
12361.0,286.0,4,511.25,1
12362.0,2.0,11,5356.23,0
12363.0,109.0,2,552.0,0
12364.0,7.0,4,1313.1,0
12365.0,290.0,2,641.38,1
12366.0,633.0,1,500.24,1
12367.0,3.0,1,168.9,0
12368.0,627.0,1,917.7,1
12369.0,412.0,3,1791.15,1
12370.0,50.0,7,4320.31,0
12371.0,44.0,5,4067.38,0
12372.0,71.0,3,1298.04,0
12373.0,310.0,3,1127.65,1
12374.0,24.0,4,2989.22,0
12375.0,10.0,2,457.5,0
12376.0,389.0,2,503.15,1
12377.0,314.0,4,3426.32,1
12378.0,129.0,2,5416.32,0
12379.0,81.0,4,1620.22,0
12380.0,21.0,11,9676.3,0
12381.0,4.0,5,1845.31,0
12383.0,184.0,5,1850.56,0
12384.0,28.0,2,585.27,0
12385.0,378.0,1,1938.4,1
12386.0,337.0,2,660.8,1
12387.0,414.0,1,143.94,1
12388.0,15.0,8,3901.11,0
12389.0,402.0,3,1433.33,1
12390.0,79.0,1,549.84,0
12391.0,21.0,6,2773.42,0
12392.0,590.0,1,234.75,1
12393.0,71.0,6,2399.45,0
12394.0,63.0,2,1272.48,0
12395.0,18.0,15,5067.27,0
12396.0,673.0,1,931.43,1
12397.0,35.0,2,2409.9,0
12398.0,45.0,1,1635.66,0
12399.0,118.0,7,1962.3,0
12400.0,413.0,1,205.25,1
12401.0,302.0,1,84.3,1
12402.0,322.0,6,1256.9,1
12403.0,49.0,2,1019.36,0
12404.0,681.0,1,63.24,1
12405.0,148.0,1,1710.39,0
12406.0,21.0,5,6390.36,0
12407.0,49.0,5,1708.12,0
12408.0,32.0,8,4340.77,0
12409.0,78.0,7,23419.29,0
12410.0,308.0,3,1013.71,1
12411.0,409.0,1,346.9,1
12412.0,74.0,6,2596.93,0
12413.0,66.0,4,999.45,0
12414.0,216.0,6,952.41,0
12415.0,23.0,28,144458.37,2
12416.0,656.0,1,202.56,1
12417.0,2.0,20,6816.91,0
12418.0,112.0,4,2021.2,0
12419.0,385.0,2,503.01,1
12420.0,63.0,1,600.39,0
12421.0,15.0,6,1098.6,0
12422.0,95.0,17,5231.8,0
12423.0,0.0,10,2622.39,0
12424.0,162.0,4,3340.03,0
12425.0,77.0,2,1741.41,0
12426.0,194.0,2,1345.21,0
12427.0,21.0,3,1129.3,0
12428.0,25.0,9,7956.46,0
12429.0,8.0,8,7485.91,0
12430.0,42.0,1,256.4,0
12431.0,35.0,27,10857.97,0
12432.0,42.0,5,5059.32,0
12433.0,0.0,10,20581.26,0
12434.0,84.0,3,1103.43,0
12435.0,79.0,6,13925.93,0
12436.0,99.0,1,509.01,0
12437.0,1.0,39,12683.4,0
12438.0,13.0,2,2906.85,0
12439.0,682.0,2,1158.18,1
12440.0,461.0,2,859.2,1
12441.0,366.0,1,347.1,1
12442.0,2.0,1,172.06,0
12443.0,731.0,1,485.31,1
12444.0,20.0,5,5005.46,0
12445.0,21.0,2,434.98,0
12446.0,57.0,1,1002.31,0
12447.0,242.0,1,476.49,0
12448.0,43.0,1,449.45,0
12449.0,21.0,6,4835.89,0
12450.0,155.0,5,688.2,0
12451.0,10.0,8,12669.88,0
12452.0,16.0,2,430.57,0
12453.0,133.0,1,707.09,0
12454.0,55.0,5,16679.78,0
12455.0,72.0,10,5879.95,0
12456.0,43.0,3,3181.04,0
12457.0,65.0,8,2995.91,0
12458.0,70.0,4,1777.49,0
12459.0,604.0,1,454.36,1
12460.0,455.0,1,326.65,1
12461.0,93.0,2,826.88,0
12462.0,18.0,2,1189.59,0
12463.0,52.0,4,1344.78,0
12464.0,9.0,8,1212.05,0
12465.0,16.0,2,742.19,0
12466.0,681.0,1,56.73,1
12467.0,422.0,1,132.8,1
12468.0,187.0,5,3670.74,0
12469.0,522.0,2,3070.54,1
12470.0,689.0,1,211.95,1
12471.0,1.0,79,39963.79,0
12472.0,31.0,19,17880.59,0
12473.0,28.0,5,3938.55,0
12474.0,16.0,31,12424.45,0
12475.0,53.0,2,1149.64,0
12476.0,15.0,23,14115.41,0
12477.0,22.0,9,20276.37,0
12478.0,3.0,1,680.99,0
12479.0,10.0,1,527.2,0
12480.0,27.0,7,5464.85,0
12481.0,22.0,15,12361.39,0
12482.0,575.0,29,23691.4,1
12483.0,16.0,19,5120.58,0
12484.0,32.0,12,6370.15,0
12485.0,528.0,1,708.1,1
12486.0,431.0,1,1037.28,1
12487.0,730.0,1,285.3,1
12488.0,9.0,3,1298.66,0
12489.0,335.0,1,334.93,1
